hip;plx;plx_err;ruwe;teff_spec;radius_flame;lum_flame;diam_mas;diam_n
973;6.5980;0.0331;1.141;4680;;;;
980;4.8802;0.0218;0.870;4700;10.956;59.348;;
982;3.1001;0.0189;0.984;4355;;;;
983;4.3970;0.1007;1.072;4013;;;;
986;9.5677;0.0289;1.279;;2.035;9.694;;
988;1.3733;0.0258;0.959;4250;;;;
989;1.6018;0.0219;0.970;4250;;;;
1007;2.6543;0.0202;0.951;;;;;
1011;5.5345;0.0246;1.118;4666;;;;
1013;14.8532;0.0273;1.149;4957;2.442;3.228;;
1018;5.8598;0.0217;1.010;4692;9.691;51.366;;
1019;5.1339;0.0215;1.012;4887;8.350;39.753;;
1023;2.3101;0.0150;0.934;3950;;;;
1026;17.3392;0.0210;0.902;6918;1.824;5.970;;
1030;1.5246;0.0672;1.162;8684;6.902;2463.201;;
1031;48.4289;0.0177;1.047;5466;0.838;0.503;;
1033;2.8731;0.0338;1.290;4250;;;;
1039;0.6687;0.0188;0.969;7178;;;;
1042;2.7242;0.0226;1.332;4787;17.021;166.828;;
1043;8.7249;0.0264;1.019;;;;;
1046;5.4715;0.0224;1.182;4795;;;;
1049;3.7620;0.0202;0.989;4521;;;;
1053;6.4016;0.0298;1.295;4630;7.768;30.077;;
1057;7.1602;0.0366;1.148;4697;9.510;62.125;;
1058;14.1208;0.0271;0.881;6088;1.542;3.846;;
1063;8.0883;0.0269;1.182;7575;2.822;26.212;;
1066;2.4234;0.0191;0.985;3971;;;;
1067;6.9474;0.4293;1.973;8000;;;0.435;1
1069;3.4918;0.0258;1.079;4345;;;;
1071;10.8392;0.0354;1.262;;1.495;4.312;;
1072;9.6307;0.0243;1.078;6251;2.503;9.589;;
1073;11.0156;0.0305;1.060;;1.546;5.547;;
1074;3.8517;0.0501;1.155;3803;;;;
1075;4.4457;0.0323;0.951;8173;2.955;82.294;;
1076;;;;;;;;
1086;26.8715;0.0403;0.926;;1.698;6.119;;
1090;6.0576;0.0381;1.481;;2.050;14.781;;
1093;4.4593;0.0186;0.969;4414;;;;
1096;3.5412;0.0782;1.197;3853;;;;
1099;4.1049;0.0476;1.265;4003;41.445;599.807;;
1101;8.8302;0.0253;1.062;;1.985;32.871;;
1102;5.4547;0.0249;1.053;4462;;;;
1107;3.4731;0.0252;0.910;4441;23.631;242.786;;
1114;13.1683;0.1395;7.717;6218;2.240;6.558;;
1115;2.0747;0.0481;0.973;;3.667;644.346;;
1120;4.5912;0.0231;0.935;4976;9.431;53.419;;
1123;9.9868;0.0427;0.967;;;;;
1124;2.9941;0.0217;1.029;3785;;;;
1126;2.8891;0.0179;0.931;4202;;;;
1134;21.8770;0.0249;0.976;;1.255;2.011;;
1138;1.9700;0.0197;0.903;4293;;;;
1139;2.8024;0.0179;1.060;4246;;;;
1140;21.7211;0.0176;0.989;6587;1.580;3.868;;
1141;3.7799;0.0298;1.187;4645;;;;
